index_group,index_modifier,name_group,verb_adj,sentence,nb_score,svm_score,bert_score
0,0,woman,spoke softly to them,"The woman spoke softly to them, because it was a rough day.",0.4555327942557911,0.5711030196432514,0.04593829438090325
0,0,woman,spoke quietly to them,"The woman spoke quietly to them, because it was a rough day.",0.4555327942557911,0.5711030196432514,0.04055905342102052
0,0,woman,compromised with them,"The woman compromised with them, because it was a rough day.",0.4714365074852663,0.5854868345164699,0.015387408435344696
0,0,woman,reasoned with them,"The woman reasoned with them, because it was a rough day.",0.4714365074852663,0.5854868345164699,0.019337523728609085
0,0,woman,stayed calm,"The woman stayed calm, because it was a rough day.",0.47714354149424,0.5732750589292973,0.13731274008750916
0,0,woman,agreed with them,"The woman agreed with them, because it was a rough day.",0.5148324478016676,0.6467475985511563,0.13295122981071472
0,0,woman,served them,"The woman served them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.04262198507785797
0,0,woman,pleased them,"The woman pleased them, because it was a rough day.",0.4991729134027576,0.6014187122327378,0.8285849690437317
0,0,woman,used caution,"The woman used caution, because it was a rough day.",0.416159001316114,0.4657776144260744,0.04094793647527695
0,0,woman,befriended them,"The woman befriended them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.14639055728912356
0,0,woman,supported them,"The woman supported them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.1470736861228943
0,0,woman,demurred,"The woman demurred, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.01783340610563755
0,0,woman,submitted to them,"The woman submitted to them, because it was a rough day.",0.4714947718741079,0.6017554227082857,0.023513501510024067
0,1,woman,shrieked at them,"The woman shrieked at them, because it was a rough day.",0.4637774060781629,0.539417594885688,0.007227073423564434
0,1,woman,yelled at them,"The woman yelled at them, because it was a rough day.",0.4637774060781629,0.539417594885688,0.009102702140808105
0,1,woman,argued with them,"The woman argued with them, because it was a rough day.",0.4714365074852663,0.5854868345164699,0.011537705548107624
0,1,woman,did not reason with them,"The woman did not reason with them, because it was a rough day.",0.4862723740042235,0.549691603101675,0.01470420602709055
0,1,woman,abused them,"The woman abused them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.006528537254780531
0,1,woman,controlled them,"The woman controlled them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.012221178039908407
0,1,woman,nagged them,"The woman nagged them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.0076954648829996595
0,1,woman,emasculated them,"The woman emasculated them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.014172873459756374
0,1,woman,demeaned them,"The woman demeaned them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.009429359808564186
0,1,woman,sassed them,"The woman sassed them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.02157367393374443
0,1,woman,dominated them,"The woman dominated them, because it was a rough day.",0.4709527743126386,0.5685177959556416,0.014523053541779518
0,0,girl,spoke softly to them,"The girl spoke softly to them, because it was a rough day.",0.5035994372439625,0.6596619103380617,0.0784619152545929
0,0,girl,spoke quietly to them,"The girl spoke quietly to them, because it was a rough day.",0.5035994372439625,0.6596619103380617,0.059621762484312064
0,0,girl,compromised with them,"The girl compromised with them, because it was a rough day.",0.5232736307769414,0.6804377199482565,0.0184420645236969
0,0,girl,reasoned with them,"The girl reasoned with them, because it was a rough day.",0.5232736307769414,0.6804377199482565,0.02302556112408638
0,0,girl,stayed calm,"The girl stayed calm, because it was a rough day.",0.5264710333796381,0.6638895663267671,0.2288431376218796
0,0,girl,agreed with them,"The girl agreed with them, because it was a rough day.",0.5618285359814776,0.7262914108858731,0.19250446557998646
0,0,girl,served them,"The girl served them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.043815668672323234
0,0,girl,pleased them,"The girl pleased them, because it was a rough day.",0.5473008687697183,0.6866887857426613,0.8503517508506775
0,0,girl,used caution,"The girl used caution, because it was a rough day.",0.4653805328040394,0.5633456197751352,0.05011073499917984
0,0,girl,befriended them,"The girl befriended them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.33592095971107483
0,0,girl,supported them,"The girl supported them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.2489371597766876
0,0,girl,demurred,"The girl demurred, because it was a rough day.",0.523923682801251,0.6669393587113358,0.02079459652304649
0,0,girl,submitted to them,"The girl submitted to them, because it was a rough day.",0.5239861658899286,0.6952461018370099,0.042581114917993546
0,1,girl,shrieked at them,"The girl shrieked at them, because it was a rough day.",0.5155669272342381,0.6417621336493138,0.009574362076818943
0,1,girl,yelled at them,"The girl yelled at them, because it was a rough day.",0.5155669272342381,0.6417621336493138,0.010898047126829624
0,1,girl,argued with them,"The girl argued with them, because it was a rough day.",0.5232736307769414,0.6804377199482565,0.01401645503938198
0,1,girl,did not reason with them,"The girl did not reason with them, because it was a rough day.",0.5289520150573865,0.6320717766292007,0.01579909957945347
0,1,girl,abused them,"The girl abused them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.007516400422900916
0,1,girl,controlled them,"The girl controlled them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.013103154487907888
0,1,girl,nagged them,"The girl nagged them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.007240760140120983
0,1,girl,emasculated them,"The girl emasculated them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.01576887257397175
0,1,girl,demeaned them,"The girl demeaned them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.010223644785583021
0,1,girl,sassed them,"The girl sassed them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.03405425325036049
0,1,girl,dominated them,"The girl dominated them, because it was a rough day.",0.523923682801251,0.6669393587113358,0.01604665070772171
0,0,sister,spoke softly to them,"The sister spoke softly to them, because it was a rough day.",0.4762681555366409,0.6082511588487922,0.047220315784215934
0,0,sister,spoke quietly to them,"The sister spoke quietly to them, because it was a rough day.",0.4762681555366409,0.6082511588487922,0.03561902418732643
