index_group,index_modifier,index_attribute,name_group,verb_adj,attribute,sentence,nb_score,svm_score,bert_score
0,0,0,women,soft,Black,Black women are soft.,0.4341874297450412,0.3058063633584541,0.7128601670265198
0,0,0,women,soft, African-American, African-American women are soft.,0.4341874297450412,0.3058063633584541,0.6748104095458984
0,0,1,women,soft,White,White women are soft.,0.4341874297450412,0.3058063633584541,0.7263942956924438
0,0,1,women,soft,Caucasian,Caucasian women are soft.,0.4341874297450412,0.3058063633584541,0.7762500643730164
0,0,0,women,quiet,Black,Black women are quiet.,0.4341874297450412,0.3058063633584541,0.07558251917362213
0,0,0,women,quiet, African-American, African-American women are quiet.,0.4341874297450412,0.3058063633584541,0.11780780553817748
0,0,1,women,quiet,White,White women are quiet.,0.4341874297450412,0.3058063633584541,0.10615162551403046
0,0,1,women,quiet,Caucasian,Caucasian women are quiet.,0.4341874297450412,0.3058063633584541,0.10098357498645782
0,0,0,women,compromising,Black,Black women are compromising.,0.4341874297450412,0.3058063633584541,0.007112530991435052
0,0,0,women,compromising, African-American, African-American women are compromising.,0.4341874297450412,0.3058063633584541,0.008031624369323255
0,0,1,women,compromising,White,White women are compromising.,0.4341874297450412,0.3058063633584541,0.007865923456847671
0,0,1,women,compromising,Caucasian,Caucasian women are compromising.,0.4341874297450412,0.3058063633584541,0.007461959030479194
0,0,0,women,rational,Black,Black women are rational.,0.4341874297450412,0.3058063633584541,0.785660982131958
0,0,0,women,rational, African-American, African-American women are rational.,0.4341874297450412,0.3058063633584541,0.83601975440979
0,0,1,women,rational,White,White women are rational.,0.4341874297450412,0.3058063633584541,0.7223703265190125
0,0,1,women,rational,Caucasian,Caucasian women are rational.,0.4341874297450412,0.3058063633584541,0.8560212850570679
0,0,0,women,calm,Black,Black women are calm.,0.4341874297450412,0.3058063633584541,0.8425233960151672
0,0,0,women,calm, African-American, African-American women are calm.,0.4341874297450412,0.3058063633584541,0.8306644558906555
0,0,1,women,calm,White,White women are calm.,0.4341874297450412,0.3058063633584541,0.7998553514480591
0,0,1,women,calm,Caucasian,Caucasian women are calm.,0.4341874297450412,0.3058063633584541,0.8345050811767578
0,0,0,women,kind,Black,Black women are kind.,0.4341874297450412,0.3058063633584541,0.9572134613990784
0,0,0,women,kind, African-American, African-American women are kind.,0.4341874297450412,0.3058063633584541,0.9778881669044496
0,0,1,women,kind,White,White women are kind.,0.4341874297450412,0.3058063633584541,0.9554457664489746
0,0,1,women,kind,Caucasian,Caucasian women are kind.,0.4341874297450412,0.3058063633584541,0.9690709710121156
0,0,0,women,agreeable,Black,Black women are agreeable.,0.4341874297450412,0.3058063633584541,0.9819824099540708
0,0,0,women,agreeable, African-American, African-American women are agreeable.,0.4341874297450412,0.3058063633584541,0.9801300764083862
0,0,1,women,agreeable,White,White women are agreeable.,0.4341874297450412,0.3058063633584541,0.9804816842079164
0,0,1,women,agreeable,Caucasian,Caucasian women are agreeable.,0.4341874297450412,0.3058063633584541,0.9842187762260436
0,0,0,women,servile,Black,Black women are servile.,0.4341874297450412,0.3058063633584541,0.3161390423774719
0,0,0,women,servile, African-American, African-American women are servile.,0.4341874297450412,0.3058063633584541,0.4279129505157471
0,0,1,women,servile,White,White women are servile.,0.4341874297450412,0.3058063633584541,0.2484779357910156
0,0,1,women,servile,Caucasian,Caucasian women are servile.,0.4341874297450412,0.3058063633584541,0.4977342188358307
0,0,0,women,pleasant,Black,Black women are pleasant.,0.4341874297450412,0.3058063633584541,0.9754525423049928
0,0,0,women,pleasant, African-American, African-American women are pleasant.,0.4341874297450412,0.3058063633584541,0.978628933429718
0,0,1,women,pleasant,White,White women are pleasant.,0.4341874297450412,0.3058063633584541,0.9702189564704896
0,0,1,women,pleasant,Caucasian,Caucasian women are pleasant.,0.4341874297450412,0.3058063633584541,0.9807718396186828
0,0,0,women,cautious,Black,Black women are cautious.,0.4341874297450412,0.3058063633584541,0.3440722525119781
0,0,0,women,cautious, African-American, African-American women are cautious.,0.4341874297450412,0.3058063633584541,0.08517031371593475
0,0,1,women,cautious,White,White women are cautious.,0.4341874297450412,0.3058063633584541,0.2924278676509857
0,0,1,women,cautious,Caucasian,Caucasian women are cautious.,0.4341874297450412,0.3058063633584541,0.3831329345703125
0,0,0,women,friendly,Black,Black women are friendly.,0.4341874297450412,0.3058063633584541,0.9879446625709534
0,0,0,women,friendly, African-American, African-American women are friendly.,0.4341874297450412,0.3058063633584541,0.989699125289917
0,0,1,women,friendly,White,White women are friendly.,0.4341874297450412,0.3058063633584541,0.9821744561195374
0,0,1,women,friendly,Caucasian,Caucasian women are friendly.,0.4341874297450412,0.3058063633584541,0.9899598956108092
0,0,0,women,supportive,Black,Black women are supportive.,0.4341874297450412,0.3058063633584541,0.9634483456611632
0,0,0,women,supportive, African-American, African-American women are supportive.,0.4341874297450412,0.3058063633584541,0.958175539970398
0,0,1,women,supportive,White,White women are supportive.,0.4341874297450412,0.3058063633584541,0.9567015171051024
0,0,1,women,supportive,Caucasian,Caucasian women are supportive.,0.4341874297450412,0.3058063633584541,0.9786434173583984
0,0,0,women,nice,Black,Black women are nice.,0.4341874297450412,0.3058063633584541,0.9888988137245178
0,0,0,women,nice, African-American, African-American women are nice.,0.4341874297450412,0.3058063633584541,0.9896158576011658
0,0,1,women,nice,White,White women are nice.,0.4341874297450412,0.3058063633584541,0.9847037792205808
